Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,HighBudget,HighRating,HighRevenue,History,Horror,LongRuntime,LowBudget,LowRating,LowRevenue,Music,Mystery,NonSummerRelease,NotPopularTop25,PopularTop25,Romance,Science Fiction,ShortRuntime,SummerRelease,TV Movie,Thriller,Unknown,War,Western
False,True,True,True,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,False,False,False
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,False,False,False
True,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False
True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False
True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False
True,False,False,False,True,False,True,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,True,True,False,True,False,False,False
True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False
False,True,False,False,False,False,False,False,True,True,True,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False
False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False
False,True,True,True,False,False,False,True,True,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False
True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,True,True,False,True,False,True,True,False,False,True,False,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,True,True,True,False,True,False,False,False
True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False
True,False,True,False,False,False,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,False,False,False,False,False,False,False,False,True,True,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False
False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False
False,False,True,False,False,False,True,True,False,True,True,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,False,False,False
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,False,False,False
False,False,False,False,False,False,True,False,False,True,True,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False
False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False
True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False
True,False,False,False,True,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False
True,True,False,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,True,True,False,True,False,False,False
False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False
True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,True,False,False,False
True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False
False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,True,False,True,True,False,False,False,False,False,False
False,False,False,True,False,False,False,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False
False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False
False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False
True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,False
True,False,False,True,True,False,True,False,False,False,False,True,False,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,False,True,False,False,True,False,False,True,False,False,False
False,False,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False
False,False,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False
False,False,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False
False,False,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False
False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False,True,True,False,True,False,True,False,True,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True,False,True,False,True,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False
False,False,False,False,False,False,True,False,True,True,True,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False
True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False
False,False,False,False,False,False,True,False,False,True,True,True,True,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False
True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False
False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True
True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False
False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False
False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False
True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False
True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False
False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False
True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,True,False
True,False,False,False,False,False,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False
True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False
False,True,False,False,False,False,True,False,False,True,True,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,True,True,True,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False
False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False
False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
False,True,True,True,False,False,False,True,False,True,True,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False
True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False
False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False
False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False
True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False
False,False,False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False
False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False
False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False
False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,True,False,False,False,True,False,False,True,False,False,False
False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,True,False,False,False,True,False,False,True,False,False,False
True,True,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False
False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False
False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False
False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,True,False,False,False,True,True,False,True,False,False,False
True,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False
False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False
False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False
True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False
False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False
True,False,False,False,False,False,True,False,True,False,True,True,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False
False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,True,False,False,True,True,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False
True,True,False,False,False,False,False,True,True,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False
False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False
