popularity,vote_average,vote_count,runtime,budget,revenue
376.1868,7.6,1297,108,150000000.0,1744338246.0
305.9816,6.58,143,98,90000000.0,11416907.0
305.9816,6.58,143,98,90000000.0,11416907.0
300.7556,7.051,867,113,100000000.0,0.0
239.2488,6.56,129,106,0.0,928164.0
267.0247,6.2,40,124,0.0,0.0
363.8111,7.217,352,142,0.0,174400000.0
258.9958,5.5,24,106,0.0,0.0
233.7913,7.753,1703,107,105000000.0,184561056.0
222.7451,7.302,1643,198,350000000.0,1378692505.0
238.1653,5.983,230,100,45000000.0,128328016.0
167.3536,6.618,140,88,64000000.0,153600000.0
147.963,7.1,551,131,35000000.0,305000000.0
133.0881,6.471,105,99,0.0,0.0
119.4486,5.693,44,89,0.0,0.0
122.9424,4.213,867,91,10000000.0,0.0
109.5764,6.988,288,117,0.0,0.0
101.9656,7.675,684,156,20000000.0,724279886.0
100.3101,7.488,3437,138,90000000.0,368389632.0
89.6567,3.8,15,88,0.0,0.0
95.0521,7.9,34,109,60900000.0,77770275.0
305.9816,6.6,142,98,90000000.0,11416907.0
305.9816,6.6,142,98,90000000.0,11416907.0
82.4454,7.867,346,150,65000000.0,116300000.0
76.8269,6.4,52,117,0.0,9187679.0
74.3052,6.1,26,224,65000000.0,3500000.0
80.8943,6.6,971,113,90000000.0,239845830.0
74.6943,6.63,188,102,0.0,0.0
70.6801,7.421,2616,162,175000000.0,206311045.0
74.8319,6.0,4759,124,70000000.0,277448382.0
66.0039,6.6,60,0,0.0,0.0
67.2374,7.2,261,109,63000000.0,46200000.0
70.9271,6.857,77,100,60000000.0,22700000.0
66.2639,7.923,35471,143,220000000.0,1518815515.0
59.1111,5.995,542,107,0.0,0.0
67.083,7.2,18,113,40000000.0,10821.0
64.1619,6.7,671,104,36000000.0,237625385.0
56.8589,5.3,55,106,23000000.0,19300000.0
56.8589,5.3,55,106,23000000.0,19300000.0
60.0664,9.0,8,51,0.0,0.0
53.1045,6.9,34,123,9500000.0,24508523.0
52.9988,6.752,101,93,0.0,0.0
60.3098,8.11,2291,96,100000000.0,24690793.0
60.3098,8.11,2291,96,100000000.0,24690793.0
60.3098,8.11,2291,96,100000000.0,24690793.0
60.3098,8.11,2291,96,100000000.0,24690793.0
54.977,8.4,16,141,0.0,0.0
56.8589,5.3,55,106,23000000.0,19300000.0
56.8589,5.3,55,106,23000000.0,19300000.0
51.75,6.518,1103,119,220000000.0,142249983.0
50.0654,6.266,64,95,0.0,0.0
52.9428,6.329,2900,134,180000000.0,869146189.0
54.7362,7.692,2765,150,120000000.0,480678.0
49.2348,6.798,1078,133,110000000.0,68615641.0
46.1727,5.6,78,88,0.0,44559195.0
40.1375,7.6,13608,192,350000000.0,2353096253.0
40.1375,7.6,13608,192,350000000.0,2353096253.0
47.9796,7.804,158,126,35000000.0,42580530.0
47.866,6.368,53,123,0.0,0.0
44.3709,6.432,148,95,0.0,1000526.0
44.7592,6.231,80,123,0.0,51706251.0
45.6283,0.0,0,107,0.0,0.0
45.4786,6.625,64,89,21000000.0,30502877.0
42.8715,7.19,2475,170,400000000.0,598767057.0
42.8715,7.19,2475,170,400000000.0,598767057.0
44.6777,7.675,229,161,5000000.0,6471965.0
44.0002,7.4,503,89,12200000.0,9724644.0
43.9351,7.793,3185,156,250000000.0,631627111.0
42.8715,7.19,2475,170,400000000.0,598767057.0
42.8715,7.19,2475,170,400000000.0,598767057.0
42.8479,8.466,38728,169,165000000.0,746606706.0
42.6598,7.6,33350,162,237000000.0,2353096253.0
42.4559,5.7,19,91,0.0,0.0
42.393,5.435,23,78,0.0,0.0
42.2594,7.8,274,110,0.0,10706787.0
40.8984,7.758,17576,109,150000000.0,1025521689.0
40.6742,5.3,3,90,0.0,0.0
40.1375,7.6,13608,192,350000000.0,2353096253.0
40.1375,7.6,13608,192,350000000.0,2353096253.0
39.9987,8.32,649,99,4100000.0,174502910.0
39.9278,5.729,35,84,0.0,0.0
39.4928,7.1,123,93,0.0,0.0
39.0038,6.778,9,48,0.0,0.0
38.9698,7.7,544,139,12200000.0,30098000.0
38.6415,7.1,4988,120,34000000.0,52300000.0
37.4122,7.386,1272,119,50000000.0,40796580.0
36.867,0.0,0,0,0.0,0.0
36.867,0.0,0,0,0.0,0.0
36.8102,6.546,1449,84,86000000.0,14373825.0
36.8102,6.546,1449,84,86000000.0,14373825.0
36.7167,7.377,4228,130,225000000.0,616823803.0
36.4211,7.2,772,130,52000000.0,28623298.0
33.7429,5.968,78,99,50000.0,0.0
32.6165,7.047,360,116,1000000.0,0.0
34.6836,7.76,3981,117,0.0,0.0
30.5782,6.136,59,87,0.0,0.0
34.4981,6.982,2907,115,200000000.0,521858728.0
36.867,0.0,0,0,0.0,0.0
36.867,0.0,0,0,0.0,0.0
31.2412,7.368,53,91,0.0,0.0
30.991,6.616,2131,115,60000000.0,151308832.0
31.9735,7.017,58,165,14000000.0,91000000.0
30.7006,4.2,10,104,0.0,0.0
32.8606,6.929,35,134,10720500.0,0.0
34.2019,7.7,5,199,33000000.0,21000000.0
33.423,7.952,2530,125,150000000.0,636351148.0
30.7847,3.8,5,99,0.0,0.0
34.8718,1.0,1,60,0.0,0.0
32.4068,7.6,10,105,0.0,1067775.0
36.8102,6.546,1449,84,86000000.0,14373825.0
36.8102,6.546,1449,84,86000000.0,14373825.0
30.1523,6.474,38,83,0.0,1015383.0
30.1523,6.474,38,83,0.0,1015383.0
30.6809,7.2,1924,145,210000000.0,4000000.0
27.5747,5.681,47,103,5000000.0,490149.0
27.5747,5.681,47,103,5000000.0,490149.0
30.5613,6.7,771,137,150000000.0,524676531.0
30.1523,6.474,38,83,0.0,1015383.0
30.1523,6.474,38,83,0.0,1015383.0
30.0331,3.2,5,119,0.0,0.0
29.9508,8.525,35082,152,185000000.0,1004558444.0
29.9291,6.857,7,100,0.0,0.0
29.4415,8.687,22374,175,6000000.0,245066411.0
29.3838,6.717,30,109,0.0,0.0
29.3548,8.234,31399,149,300000000.0,2052415039.0
29.1576,7.285,2262,125,90000000.0,137216585.0
29.1565,5.2,6,134,0.0,0.0
28.9246,7.363,478,148,11800000.0,37009109.0
28.8485,6.777,141,129,0.0,11242056.0
28.8367,6.0,5,166,0.0,0.0
28.7944,7.902,26712,194,200000000.0,2264162353.0
28.7441,8.427,26913,179,93000000.0,871368364.0
28.6827,8.715,29619,142,25000000.0,28341469.0
28.6511,4.6,13,90,0.0,0.0
28.2577,6.596,73,92,12000000.0,5598939.0
28.1456,6.54,474,106,0.0,0.0
28.1032,8.334,8203,140,100000000.0,690897910.0
28.0981,6.811,386,115,7000000.0,9405413.0
28.0101,6.3,41,77,0.0,1575158.0
28.0039,7.6,410,133,7800000.0,20000000.0
27.814,5.667,30,85,0.0,0.0
27.7371,6.199,331,114,5000000.0,7230000.0
27.683,6.688,1762,116,40000000.0,88200711.0
27.6817,7.559,8206,128,200000000.0,1338073645.0
27.5747,5.681,47,103,5000000.0,490149.0
27.5747,5.681,47,103,5000000.0,490149.0
27.4369,8.37,38584,148,160000000.0,839030630.0
27.181,6.8,13,127,343000.0,495000.0
26.9369,7.5,2,107,0.0,0.0
26.6978,7.905,21,138,0.0,0.0
26.6721,5.4,23,78,0.0,0.0
26.6659,6.274,126,95,0.0,39003150.0
26.4145,0.0,0,0,0.0,0.0
26.2653,5.602,54,98,0.0,16870.0
26.1861,5.9,191,104,0.0,721143.0
26.1004,6.527,386,102,11200000.0,0.0
26.0176,7.64,3380,128,70000000.0,0.0
25.9765,5.953,85,85,15000000.0,346774.0
25.7768,6.781,871,114,30000000.0,132235319.0
25.7745,6.8,158,212,22500000.0,160000000.0
25.7268,8.504,18777,189,60000000.0,286801374.0
25.6744,7.597,10227,93,100000000.0,1362000000.0
25.6133,6.391,394,110,15000000.0,26712476.0
25.4325,0.0,0,0,0.0,0.0
25.2972,6.7,492,73,70000.0,8781040.0
25.2742,6.2,23,100,0.0,25000869.0
25.0254,7.933,21497,148,200000000.0,1921847111.0
24.6048,6.0,480,93,0.0,0.0
24.5729,6.968,79,93,0.0,0.0
24.5699,6.9,1612,136,55000000.0,494656445.0
24.5204,8.237,27300,136,63000000.0,463517383.0
24.4261,8.492,25940,201,94000000.0,1118888979.0
24.4109,8.495,20038,133,11363000.0,257591776.0
24.2555,6.2,4,112,0.0,0.0
24.0488,7.754,18334,90,60000000.0,488628188.0
23.974,6.083,12,96,0.0,0.0
23.8598,7.9,29084,152,125000000.0,976475550.0
23.6223,7.333,566,102,10000000.0,0.0
23.589,7.278,2807,129,38000000.0,269072492.0
23.5592,6.444,1354,85,42000000.0,102147396.0
23.3998,7.0,45,101,0.0,0.0
23.3068,5.727,11,113,0.0,0.0
23.212,6.6,4679,125,50000000.0,100605135.0
23.1683,5.0,4,85,0.0,0.0
23.1485,6.3,38,95,0.0,12199988.0
23.0362,6.999,805,145,80000000.0,34566746.0
23.0286,7.611,12147,100,260000000.0,592461732.0
22.8009,0.0,0,0,0.0,0.0
22.6753,8.486,29604,154,8000000.0,213928762.0
22.6151,8.533,17884,125,19000000.0,274925095.0
22.6106,8.036,11269,181,100000000.0,952000000.0
22.5374,6.64,25,95,0.0,0.0
22.3767,6.6,101,101,0.0,0.0
22.2053,7.595,74,107,0.0,0.0
22.17,8.438,31335,139,63000000.0,100853753.0
22.1494,6.0,43,99,24350000.0,0.0
22.0793,6.252,565,113,0.0,0.0
22.037,4.4,5,94,0.0,0.0
21.9056,6.971,190,100,0.0,0.0
21.7475,6.6,62,91,0.0,0.0
21.6706,6.291,2732,101,150000000.0,958287780.0
21.5875,5.725,167,90,0.0,0.0
21.577,7.19,17823,113,34000000.0,348319861.0
21.5055,7.064,220,85,800000.0,861789.0
21.3517,8.393,16802,117,90000000.0,393602435.0
21.2373,8.158,10534,131,170000000.0,1488732821.0
21.1599,7.988,17782,113,14000000.0,233555708.0
21.1066,6.2,339,119,22000000.0,11745933.0
21.0767,6.7,12,78,0.0,0.0
20.9245,7.971,19497,81,30000000.0,401157969.0
20.8839,7.776,14370,155,165000000.0,410668500.0
20.8491,7.801,21790,157,150000000.0,895921036.0
20.8446,6.9,2832,162,150000000.0,758737211.0
20.7955,7.33,15057,144,250000000.0,956019788.0
20.7853,7.545,6422,97,200000000.0,1698863816.0
20.7502,6.0,279,102,0.0,3328938.0
20.7118,8.412,23349,179,79000000.0,926287400.0
20.6096,7.319,20232,121,139000000.0,821708551.0
